Name	Brain	Body
Mus_platythrix	-0.3	1.465382851
Myocastor_coypus	1.23	3.848312304
Myopus_schisticolor	-0.25	1.525044807
Mystromys_albicaudatus	0.14	1.903089987
Napaeozapus_insignis	-0.32	1.365487985
Neofiber_alleni	0.43	2.432167269
Neotoma_albigula	0.34	2.34849957
Neotoma_cinerea	0.42	2.520221436
Neotoma_floridana	0.48	2.411114419
Neotoma_fuscipes	0.42	2.286231854
Neotoma_micropus	0.42	2.577836341
Notomys_alexis	-0.02	1.568201724
Nyctomys_sumichrasti	0.03	1.77815125
Oligoryzomys_longicaudatus	-0.17	1.424881637
Ondatra_zibethicus	0.7	3.055550333
Onychomys_leucogaster	-0.1	1.437512745
Onychomys_torridus	-0.23	1.301464073
Orthogeomys_cherriei	0.54	2.607455023
Orthogeomys_heterodus	0.63	2.799340549
Orthogeomys_hispidus	0.6	2.734079407
Oryzomys_palustris	-0.06	1.673020907
Otomys_angoniensis	-0.38	1.977723605
Otomys_irroratus	0.14	2.149219113
Ototylomys_phyllotis	0.12	1.799340549
Paraxerus_cepapi	0.45	2.334453751
Pectinator_spekei	0.29	2.255272505
Perognathus_flavus	-0.52	0.924279286
Perognathus_longimembris	-0.48	0.911157609
Perognathus_parvus	-0.31	1.238046103
Peromyscus_aztecus	-0.04	1.599118565
Peromyscus_boylii	-0.15	1.438858659
Peromyscus_californicus	-0.04	1.638821922
Peromyscus_crinitus	-0.28	1.13225969
Peromyscus_eremicus	-0.27	1.299507299
Peromyscus_gossypinus	-0.17	1.451018452
Peromyscus_grandis	0.18	1.888291845
Peromyscus_guatemalensis	0.06	1.722880611
Peromyscus_leucopus	-0.22	1.326540669
Peromyscus_maniculatus	-0.24	1.335457901
Peromyscus_megalops	0.05	1.820857989
Peromyscus_melanocarpus	0.01	1.769377326
Peromyscus_melanophrys	-0.03	1.653212514
Peromyscus_melanotis	-0.2	1.597695186
Peromyscus_merriami	-0.25	1.316389751
Peromyscus_mexicanus	0.01	1.667919685
Peromyscus_polionotus	-0.38	1.124395529
Peromyscus_truei	-0.12	1.436957331
Peromyscus_yucatanicus	-0.15	1.419955748
Petaurista_elegans	0.89	2.965671971
Petaurista_petaurista	1.07	3.258038338
Podomys_floridanus	-0.03	1.524612458
Pogonomys_macrourus	0.16	1.868644438
Pogonomys_sylvestris	0.05	1.614897216
Praomys_morio	-0.08	1.667452953
Praomys_tullbergi	-0.07	1.57054294
Proechimys_semispinosus	0.84	2.736197239
Pseudomys_australis	0.06	1.698970004
Pteromyscus_pulverulentus	0.55	2.602059991
Rattus_exulans	-0.05	1.780317312
Rattus_fuscipes	0.23	2.086359831
Rattus_lutreolus	0.21	1.967079734
Rattus_morotaiensis	0.28	2.127428778
Rattus_nitidus	0.23	2.004321374
Rattus_norvegicus	0.9	2.555698895
Rattus_sordidus	0.23	2.081587316
Rattus_tunneyi	0.15	1.881954971
Ratufa_affinis	0.99	2.992332559
Ratufa_bicolor	1.04	3.120573931
Ratufa_indica	1.06	3.286680969
Reithrodontomys_megalotis	-0.4	1.029383778
Rhabdomys_pumilio	-0.16	1.598894679
Rhinosciurus_laticaudatus	0.63	2.380211242
Saccostomus_campestris	-0.09	1.693287157
Sciurus_aureogaster	0.89	2.774516966
Sciurus_carolinensis	0.87	2.701711863
Sciurus_granatensis	0.77	2.602059991
Sciurus_niger	0.9	2.712916144
Sciurus_vulgaris	0.77	2.515078675
Sigmodon_hispidus	0.06	2.122215878
Spalacopus_cyanus	0.2	1.968482949
Spermophilopsis_leptodactylus	0.79	2.694605199
Spermophilus_beecheyi	0.71	2.769007871
Spermophilus_beldingi	0.52	2.419790586
Spermophilus_columbianus	0.57	2.688597775
Spermophilus_franklinii	0.58	2.658488381
Spermophilus_lateralis	0.51	2.32159843
Spermophilus_parryii	0.72	2.882934164
Spermophilus_richardsonii	0.53	2.536137411
Spermophilus_tereticaudus	0.26	2.194791758
Spermophilus_townsendii	0.31	2.298853076
Spermophilus_tridecemlineatus	0.38	2.194236749
Spermophilus_undulatus	0.68	2.860517677
Synaptomys_cooperi	-0.23	1.376576957
