Binomial	Order	Family	Intro	Est	Invas	DCInt	Sources	BM	GT	WA	NBM	LS	LY	AFB	RL	BV	Missing?	In Previous Analysis?
Connochaetes_taurinus	Artiodactyla	Bovidae	1	1	0	0	DAISIE; Long (2003)	5.298022278	2.400520721	2.408782494	4.256341483	-0.008773924	0	2.86332286	3.845718018	-3.836944094	0	1
Cricetomys_gambianus	Rodentia	Nesomyidae	1	1	0	0	ISSG	3.102954821	1.49762065	1.538322333	1.35564305	0.492760389	0.301029996	2.32819606	3.44887475	-3.941635139	0	1
Cuniculus_paca	Rodentia	Cuniculidae	1	1	0	0	Long (2003)	3.912357586	2.065355601	1.917768002	2.829155766	0.004321374	0.243038049	2.504589002	3.735631876	-3.73995325	0	1
Dama_dama	Artiodactyla	Cervidae	1	1	1	1	DAISIE; Long (2003)	4.757582842	2.361727836	2.249516316	3.671953685	0	0	3.039414119	3.897901874	-3.897901874	0	1
Dipodomys_ordii	Rodentia	Heteromyidae	1	1	0	0	Long (2003)	1.702430536	1.472610198	1.536478146	0.698100546	0.469822016	0.301029996	1.896699467	3.539974956	-4.009796972	0	1
Herpestes_javanicus	Carnivora	Herpestidae	1	1	1	1	ISSG; Long (2003)	2.875061263	1.685562611	1.639386869	1.392169149	0.344392274	0.301029996	2.479034897	3.518339554	-3.862731827	0	1
Glis_glis	Rodentia	Gliridae	1	1	1	0	DAISIE; Long (2003)	2.107515226	1.450095076	1.444669231	0.176091259	0.713490543	0	2.504294118	3.465476542	-4.178967085	0	1
Hemitragus_jemlahicus	Artiodactyla	Bovidae	1	1	1	1	DAISIE; Long (2003)	4.836428119	2.291723956	2.179756091	3.431363764	0.004321374	0	2.86332286	3.852357984	-3.856679357	0	1
Lepus_americanus	Lagomorpha	Leporidae	1	1	0	1	ISSG; Long (2003)	3.195462372	1.56312496	1.361350024	1.831485839	0.549003262	0.397940009	2.562292864	3.156851901	-3.705855163	0	1
Lepus_arcticus	Lagomorpha	Leporidae	1	1	0	1	Long (2003)	3.644707355	1.715919817	1.811779306	2.021189299	0.749736316	0.176091259	2.546357537	3.336089328	-4.085825643	0	1
Lepus_californicus	Lagomorpha	Leporidae	1	1	0	1	DAISIE; Long (2003)	3.3842602	1.620864475	1.297760511	1.929061124	0.428134794	0.607455023	2.38648969	3.491992392	-3.920127186	0	1
Lepus_europaeus	Lagomorpha	Leporidae	1	1	1	1	DAISIE; ISSG; Long (2003)	3.581657301	1.623145875	1.456527556	2.089905111	0.330413773	0.643452676	2.373820721	3.611033164	-3.941446937	0	1
Lepus_timidus	Lagomorpha	Leporidae	1	1	0	1	Long (2003)	3.492120346	1.699837726	1.364213295	2.054957596	0.499687083	0.477121255	2.424413946	3.662218055	-4.161905138	0	1
Lepus_townsendii	Lagomorpha	Leporidae	1	1	0	0	Long (2003)	3.527841198	1.60991441	1.465828815	1.954194252	0.652246341	0.517195898	2.522813822	3.405980601	-4.058226942	0	1
Macaca_fascicularis	Primates	Cercopithecidae	1	1	1	1	ISSG; Long (2003)	3.659851574	2.21666723	2.452599018	2.516878972	0	0	3.149440823	4.088819078	-4.088819078	0	1
Macaca_mulatta	Primates	Cercopithecidae	1	1	1	1	DAISIE; ISSG; Long (2003)	3.80990903	2.220291186	2.4831021	2.673454063	0.004321374	0	3.164352856	3.994756945	-3.999078318	0	1
Macaca_nemestrina	Primates	Cercopithecidae	1	1	0	0	Long (2003)	3.893250069	2.23299611	2.466274322	2.674787681	0.004321374	-0.070581074	3.155578931	4.038111267	-4.04243264	0	1
Macaca_sylvanus	Primates	Cercopithecidae	1	1	0	0	DAISIE; Long (2003)	4.059621345	2.217062606	2.322736004	2.653067725	0.008600172	-0.259637311	3.242173563	3.790530046	-3.799130217	0	1
Macropus_eugenii	Diprotodontia	Macropodidae	1	1	1	1	Long (2003)	3.72250888	1.475525915	2.498310554	-0.356547324	0.004321374	0	2.504294118	3.61936781	-3.623689184	0	1
Macropus_fuliginosus	Diprotodontia	Macropodidae	1	1	0	1	Long (2003)	4.407640701	1.488550717	2.714891129	-0.065501549	0	0	2.784139234	3.818995457	-3.818995457	0	1
Macropus_parma	Diprotodontia	Macropodidae	1	1	0	0	Long (2003)	3.618740323	1.539828558	2.465873387	-0.301029996	-0.045757491	0.113943352	2.580012113	3.507828896	-3.462071405	0	1
Macropus_rufogriseus	Diprotodontia	Macropodidae	1	1	1	1	DAISIE; Long (2003)	4.226599905	1.477121255	2.629633825	-0.27572413	0.004321374	0	2.700591236	3.801961143	-3.806282516	0	1
Martes_americana	Carnivora	Mustelidae	1	1	0	1	Long (2003)	2.941357365	1.441380885	1.660201201	1.495544338	0.414973348	0	2.562292864	3.770778396	-4.185751744	0	1
Martes_martes	Carnivora	Mustelidae	1	1	0	0	Long (2003)	3.113940012	1.486146997	1.733919151	1.477121255	0.542825427	-0.124938737	2.562292864	3.645716939	-4.188542366	0	1
Mephitis_mephitis	Carnivora	Mephitidae	1	1	0	1	DAISIE; Long (2003)	3.380209432	1.801335096	1.741545517	1.521007252	0.755874856	0.301029996	2.531452876	3.461051154	-4.21692601	0	1
Micromys_minutus	Rodentia	Muridae	1	1	0	0	DAISIE	0.844477176	1.322219295	1.176091259	-0.113509275	0.691965103	0.397940009	1.716003344	3.242541428	-3.934506531	0	1
Mus_musculus	Rodentia	Muridae	1	1	1	1	DAISIE; ISSG; Long (2003)	1.285557309	1.292256071	1.33243846	0.025305865	0.743509765	0.653212514	2.144574208	3.305458855	-4.04896862	0	1
Mustela_erminea	Carnivora	Mustelidae	1	1	1	1	ISSG; Long (2003)	2.454082271	1.821840927	1.784831178	0.352182518	0.828659897	0	1.977554297	3.643949563	-4.47260946	0	1
Mustela_lutreola	Carnivora	Mustelidae	1	1	0	1	DAISIE; Long (2003)	2.753153914	1.640878779	1.76871208	0.86923172	0.653212514	0.041392685	2.511564122	3.515242972	-4.168455486	0	1
Mustela_nivalis	Carnivora	Mustelidae	1	1	0	1	DAISIE; ISSG; Long (2003)	1.894592948	1.562173863	1.565139152	0.301029996	0.705007959	0	2.055108534	3.50002649	-4.205034449	0	1
Mustela_putorius	Carnivora	Mustelidae	1	1	1	1	ISSG; Long (2003)	2.989249533	1.617943435	1.735519059	0.977723605	0.928395852	0	2.483399703	3.482105962	-4.410501814	0	1
Myocastor_coypus	Rodentia	Myocastoridae	1	1	1	1	DAISIE; ISSG; Long (2003)	3.803562945	2.120113071	1.722880611	2.313234292	0.727541257	0.411619706	2.504294118	3.359954944	-4.087496201	0	1
Myodes_glareolus	Rodentia	Cricetidae	1	1	1	0	DAISIE; Long (2003)	1.316599302	1.295347148	1.295127085	0.26245109	0.63447727	0.544068044	1.920227711	3.225510872	-3.859988142	0	1
Nasua_nasua	Carnivora	Procyonidae	1	1	1	1	DAISIE; Long (2003)	3.576974475	1.87540856	2.053654558	2.161098356	0.567026366	0.041392685	2.988549681	3.811442338	-4.378468705	0	1
Ondatra_zibethicus	Rodentia	Cricetidae	1	1	1	1	DAISIE; Long (2003)	2.996209487	1.444981112	1.444669231	1.342225229	0.8162413	0.385606274	2.562292864	3.2955671	-4.1118084	0	1
Neovison_vison	Carnivora	Mustelidae	1	1	1	1	DAISIE; ISSG; Long (2003)	2.954121855	1.558946664	1.687519685	0.936513742	0.677606953	0	2.417392866	3.523557554	-4.201164507	0	1
